video_id,trending_date,title,channel_title,category_id,publish_time,views,likes,dislikes,comment_count
zXy3_FKyv_4,18.03.06,【ベイブレード超Z】不死身のベイ参上！！バーストされても回り続ける驚異の能力とは！？【リヴァイブフェニックス】,コロコロチャンネル【公式】,24,2018-06-02T23:00:20.000Z,38451,336,64,56
ZXxiaANlCko,18.10.03,The greatest showman - The other side (Official video),Engy Hanafy,10,2018-03-08T18:51:44.000Z,68055,2116,16,100
ZXULWyGi5w4,18.29.04,大谷翔平の4号に米記者が衝撃コメント,222ch,17,2018-04-28T15:22:48.000Z,50856,108,21,10
zXSzSuAKeTE,18.27.02,Fernando Alonso - CRASH Test Day 1 - 2018 F1 Testing,Interviews,17,2018-02-26T10:28:50.000Z,29582,0,0,49
zxPkrkXkZN8,18.20.03,しゃべくり007【野性爆弾 くっきー& ガリットチュウ・福島善成】2018.03.19,バラエティービーvarieTV,24,2018-03-19T15:07:29.000Z,11953,108,13,23
zXlHtyg7UKw,18.14.02,"Juan For All, All For Juan Sugod Bahay | February 13, 2018",Eat Bulaga!,24,2018-02-13T08:00:40.000Z,155979,1125,95,194
ZxjMt-nLHa0,18.12.03,Mr．サンデー 2018年3月11日 20180311,Love Japan,25,2018-03-11T14:19:36.000Z,19177,32,18,17
ZxjMt-nLHa0,18.12.03,Mr．サンデー 2018年3月11日 20180311,Love Japan,25,2018-03-11T14:19:36.000Z,19177,32,18,17
Zxivw4Hz2Zc,18.23.04,【大食い】100kg超４人で焼肉食べ放題に行ってみた！！,ブチかまし,24,2018-04-22T11:07:36.000Z,57867,573,142,152
zXhUMivWZmc,18.15.02,びしょ濡れの段ボール箱に入れられ、寒さで震えていた猫の親子。なんとしても子猫達を守る母猫の眼差しは、やがて家族の幸せを呼び込むこととなる。【感動する話】,心に響く感動話、腹を抱える爆笑話。 Kチャンネル,24,2018-02-15T03:00:06.000Z,3703,178,1,9
zXhUMivWZmc,18.15.02,びしょ濡れの段ボール箱に入れられ、寒さで震えていた猫の親子。なんとしても子猫達を守る母猫の眼差しは、やがて家族の幸せを呼び込むこととなる。【感動する話】,心に響く感動話、腹を抱える爆笑話。 Kチャンネル,24,2018-02-15T03:00:06.000Z,3703,178,1,9
ZXege9TGfTI,18.25.02,R指定  ＶＳ  MAC-T,大仁田厚通り魔殺人,22,2018-02-24T19:30:18.000Z,2369,49,4,33
zx6gtXsGwu4,18.24.02,Miira no kaikata episode 7 full HD,taka kamitani,22,2018-02-23T05:25:56.000Z,7919,132,3,16
Zx1-mEFXchk,18.22.05,ももクロ10周年！#mymcz〜百田夏菜子〜,Momoiro Clover Z Channel,10,2018-05-21T08:59:36.000Z,39136,1989,31,243
Zx1-mEFXchk,18.22.05,ももクロ10周年！#mymcz〜百田夏菜子〜,Momoiro Clover Z Channel,10,2018-05-21T08:59:36.000Z,39136,1989,31,243
zWZNlm0NWfg,18.27.05,初めてのご飯を必死に貪るかわいい子猫！,猫のきんた。cat kinta,15,2018-05-26T08:00:04.000Z,63145,931,42,162
zWYMt-9z20o,18.12.03,【東方MMDマイクラ実況】人のいない街に、吸血鬼が2人【人のいない街】,Youtube Accountとぅーみや,20,2018-03-11T09:29:21.000Z,4378,129,2,28
zwxqTChTuY4,18.12.03,【大食い】ジャークチキンジャンバラヤ（3kg）45分チャレンジ‼️【MAX鈴木】【マックス鈴木】,MAX鈴木 TV,24,2018-03-11T10:05:56.000Z,32929,438,164,144
